artigoEmPeriodico	 	2020	2359-5736	http://dx.doi.org/10.9732/P.0034-7191.2020V120P369	O enfrentamento às decisões da corte in- teramericana de direitos humanos por cortes supremas nacionais	Revista Brasileira de Estudos Políticos	LEITE, R. A. ; GAMA NETO, RICARDO BORGES	Qualis nao identificado	Revista Brasileira de Estudos Políticos
artigoEmPeriodico	 	2020	0257-8972	http://dx.doi.org/10.1016/j.surfcoat.2020.126005	Soapstone reinforced hydroxyapatite coatings for biomedical applications	SURFACE & COATINGS TECHNOLOGY	MOREIRA MOTA, LAUREANA ; NILSON NUNES NICOMEDES, DANIEL ; MOREIRA BARBOZA, ANA PAULA ; LIMA DE MORAES RAMOS, SÉRGIO LUÍS ; VASCONCELLOS, REBECCA ; VIEIRA MEDRADO, NATHANAEL ; COSTA DE ALVARENGA, ÉRIKA ; Machado, Giovanna ; R.C. JUSTE, KARYNE ; DE VASCONCELOS, CLÁUDIA KARINA ; RIGHI, ARIETE ; MATTE MANHABOSCO, SARA ; RIBEIRO RESENDE, RODRIGO ; CAMPOS BATISTA, RONALDO JUNIO ; DOS SANTOS SOARES, JAQUELINE ; MATTE MANHABOSCO, TAÍSE	A2	
artigoEmPeriodico	 	2020	1807-8664	http://dx.doi.org/10.4025/actascitechnol.v43i1.49807	Robust regression analysis for the relationship between welding parameters and microhardness of 410 NiMo martensitic steel deposits on SAE 1020 steel	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	MORENO, J. R. S. ; CORREA, C. A. ; LIZZI, E. A. S. ; OLIVIO, E. F. T. ; OLIVIO FILHO, P. S. ; SILVA, A. C. S. ; SANTOS, T. F. A.	B2	
artigoEmPeriodico	 	2020	2452-0748	http://dx.doi.org/10.1016/j.impact.2020.100246	ZnO nanoparticles impact on the photosynthetic activity of Vicia faba: Effect of particle size and concentration	NanoImpact	PEDRUZZI, DANIELLE P. ; ARAUJO, LEANDRO O. ; FALCO, WILLIAM F. ; Machado, Giovanna ; CASAGRANDE, GLEISON A. ; COLBECK, IAN ; LAWSON, TRACY ; OLIVEIRA, SAMUEL L. ; CAIRES, ANDERSON R.L.	Qualis nao identificado	NanoImpact
artigoEmPeriodico	 	2020	1350-4177	http://dx.doi.org/10.1016/j.ultsonch.2020.105275	Ultrasound irradiation effect on morphological and adsorptive properties of a nanoscale 3D Zn-coordination polymer and derived oxide	ULTRASONICS SONOCHEMISTRY	PEREIRA, LYARA FERREIRA ; DE OLIVEIRA FRÓS, ALLANA CHRISTINA ; MANOSSO AMORIM, MILENA KOWALCZUK ; HALLWASS, FERNANDO ; ALMEIDA, LUCIANO COSTA ; BARROS, BRÁULIO SILVA ; KULESZA, JOANNA	A1	
artigoEmPeriodico	 	2020	0255-2701	http://dx.doi.org/10.1016/j.cep.2019.107792	Residue-based TiO2/PET photocatalytic films for the degradation of textile dyes: A step in the development of green monolith reactors	CHEMICAL ENGINEERING AND PROCESSING	RIBEIRO, LÍVIA N. ; FONSECA, ALINE C.S. ; DA SILVA, EMERSON F.M. ; OLIVEIRA, EVELLE D.C. ; RIBEIRO, ANDRÉ T.S. ; MARANHÃO, LAISSE C.A. ; PACHECO, JOSE G.A. ; Machado, Giovanna ; ALMEIDA, LUCIANO C.	A2	
artigoEmPeriodico	 	2020	2176-7270		INFLUÊNCIA DE NANOPARTÍCULAS BIMETÁLICAS DE PRATA E OURO SOBRE PENTÓXIDO DE TÂNTALO NA FOTOGERAÇÃO DE HIDROGÊNIO	REVISTA DE ENGENHARIA E TECNOLOGIA	SANTO, R. K. ; SALES, L. B. V. ; FRANCO, Noélia ; SILVA, I. S. E. ; G. Machado	B4	
artigoEmPeriodico	 	2020	0022-2860	http://dx.doi.org/10.1016/j.molstruc.2020.127829	Photophysical studies of coordination polymers and composites based on heterometallic lanthanide succinate	JOURNAL OF MOLECULAR STRUCTURE	SANTOS, GUILHERME C. ; DE OLIVEIRA, CARLOS A.F. ; DA SILVA, FAUSTHON F. ; Alves, Severino	B1	JOURNAL OF MOLECULAR STRUCTURE (PRINT)
artigoEmPeriodico	 	2020	1089-5639	http://dx.doi.org/10.1021/acs.jpca.0c05065	Lanthanide Contraction in Lanthanide Organic Frameworks: a Theoretical and Experimental Study	JOURNAL OF PHYSICAL CHEMISTRY A	SILVA, GUSTAVO SANTANA ; Dutra, José Diogo Lisboa ; DA COSTA, NIVAN BEZERRA ; Alves Jr., Severino ; FREIRE, Ricardo Oliveira	A1	JOURNAL OF PHYSICAL CHEMISTRY. C
artigoEmPeriodico	 	2020	0167-577X	http://dx.doi.org/10.1016/j.matlet.2020.128975	Perovskite CoTiO3/TiO2 hybrid nanotubes synthesis via pulsed anodization for photoelectrochemical application	MATERIALS LETTERS	SOARES, THIAGO A.S. ; VELÁSQUEZ, DANILO A.P. ; VITALINO GONÇALVES, RENATO ; DE ANDRADE, ANTÔNIO M.H. ; KHAN, SHERDIL ; Machado, Giovanna	A2	
artigoEmPeriodico	 	2020	2576-6422	http://dx.doi.org/10.1021/acsabm.0c00107	Luminescent Marker for GSR: Evaluation of the Acute Oral and Inhalation Toxicity of the MOF [Eu(DPA)(HDPA)]	ACS Applied Bio Materials	TALHARI, ANDRÉ L. R. ; LUCENA, MARCELLA A. M. ; MAURICIO, FILIPE G. M. ; OLIVEIRA, MARINA F. L. ; VEIGA-SOUZA, FABIANE H. ; JUNIOR, SEVERINO ALVES ; Weber, Ingrid T.	Qualis nao identificado	ACS Applied Bio Materials
artigoEmPeriodico	 	2020	2574-0970	http://dx.doi.org/10.1021/acsanm.0c01427	Lu-Labeled Eu-Doped Mesoporous SiO Nanoparticles as a Theranostic Radiopharmaceutical for Colorectal Cancer Therapy	ACS Applied Nano Materials	VIANA, RODRIGO DA SILVA ; COSTA, LUCIANA AMARAL DE MASCENA ; HARMON, ASHLYN ; ADRIÃO FILHO, MANOEL ADRIAO GOMES ; FALCÃO, EDUARDO HENRIQUE LAGO ; VICENTE, M. GRAÇA HENRIQUES ; Júnior, Severino Alves ; MATHIS, J. MICHAEL	Qualis nao identificado	ACS Applied Nano Materials
artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.78.15	The correct choice among welding wires ER70S- 2, ER70S-3 and ER70S-6, according to the oxidation level of base metal	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, A. A. ; D?SILVA, P. A. ; BABU, R. ; DOS SANTOS, I. L. ; AGUIAR, R. R. ; SANTOS, T. F. A.	B4	
artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.710.11	Study on the effect of ferrite number on impact toughness of austenitic stainless steels at low temperatures	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; JOS, BOBBY ; SANTOS, TIAGO FELIPE DE ABREU ; TENÓRIO, JORGE ALBERTO SOARES	B4	
artigoEmPeriodico	 	2020	2349-6495	http://dx.doi.org/10.22161/ijaers.711.34	Study on the effect of nitrogen content and cooling rate on the ferrite number of austenitic stainless steels	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	VICENTE, ANDRÉ DE ALBUQUERQUE ; D'SILVA, PETER ALOYSIUS ; SADANANDAN, SIBI ; SANTOS, TIAGO FELIPE DE ABREU ; TENÓRIO, JORGE ALBERTO SOARES	B4	
